Data Table,,,,,,,,,,,,
Step,Column,Chan,Result,Column,Trials,Step 1,Chan 1,Chan 2,Chan 3,Chan 4,Chan 5,
,,,,,,Time (ms),Result (nV),Result (nV),Result (nV),Result (nV),Result (nV),
,,,,,,23.5,-1704682.375,-39772.0234375,40492.98828125,-39790.015625,7122.3203125,
,,,,,,23.75,-1866371.375,-38620.52734375,39026.140625,-38634.76953125,5808.1015625,
,,,,,,24,-2002768.5,-37320.28515625,37459.7890625,-37331.5234375,4251.88671875,
,,,,,,24.25,-2113601.5,-35900.5390625,35801.44140625,-35906.03125,2531.921875,
,,,,,,24.5,-2199014.75,-34384.79296875,34065.58984375,-34382.53515625,675.20703125,
,,,,,,24.75,-2258339.75,-32715.80078125,32200.740234375,-32706.5390625,-1343.0078125,
,,,,,,25,-2291649,-30836.5546875,30154.890625,-30822.046875,-3524.97265625,
,,,,,,25.25,-2300410,-28804.0625,27967.541015625,-28794.30078125,-5854.939453125,
,,,,,,25.5,-2285831,-26735.06640625,25747.19140625,-26729.806640625,-8322.904296875,
,,,,,,25.75,-2248812,-24685.822265625,23595.341796875,-24671.810546875,-10895.869140625,
,,,,,,26,-2191485.25,-22647.828125,21557.9921875,-22625.06640625,-13499.833984375,
,,,,,,26.25,-2116322.25,-20618.08203125,19606.142578125,-20601.822265625,-16054.2998046875,
,,,,,,26.5,-2024943.375,-18592.087890625,17664.79296875,-18594.076171875,-18547.765625,
,,,,,,26.75,-1917432.5,-16543.59375,15684.9443359375,-16561.58203125,-21047.48046875,
,,,,,,27,-1792141.5,-14462.849609375,13712.0947265625,-14483.587890625,-23547.4453125,
,,,,,,27.25,-1647726.625,-12399.85546875,11852.2451171875,-12416.59375,-25949.66015625,
,,,,,,27.5,-1483675.75,-10413.3603515625,10131.3955078125,-10434.0986328125,-28277.876953125,
,,,,,,27.75,-1299584.75,-8473.8662109375,8461.5458984375,-8502.103515625,-30661.341796875,
,,,,,,28,-1097242,-6505.37109375,6766.6962890625,-6516.8583984375,-33090.05859375,
,,,,,,28.25,-881671,-4466.876953125,5055.8466796875,-4439.1142578125,-35432.7734375,
,,,,,,28.5,-659196.125,-2352.63232421875,3378.49731445313,-2301.119140625,-37626.98828125,
,,,,,,28.75,-435877.1875,-176.1376953125,1750.64770507813,-140.37451171875,-39675.453125,
,,,,,,29,-216502.25,2038.60668945313,162.298095703125,2032.87036132813,-41577.66796875,
,,,,,,29.25,-3787.34375,4307.6015625,-1388.55151367188,4273.365234375,-43378.8828125,
,,,,,,29.5,202355.5625,6648.345703125,-2920.40087890625,6623.60986328125,-45192.3515625,
,,,,,,29.75,405378.5,9011.08984375,-4498.25048828125,9014.3544921875,-47108.0625,
,,,,,,30,609621.375,11367.5849609375,-6171.1005859375,11385.599609375,-49108.28125,
,,,,,,30.25,818104.25,13750.080078125,-7907.44921875,13762.84375,-51115.49609375,
,,,,,,30.5,1032099.25,16155.57421875,-9656.798828125,16163.5888671875,-53079.7109375,
,,,,,,30.75,1249442.125,18544.318359375,-11448.6484375,18563.833984375,-54981.42578125,
,,,,,,31,1464289,20930.8125,-13361.998046875,20965.078125,-56809.890625,
,,,,,,31.25,1670004,23392.556640625,-15423.84765625,23428.322265625,-58587.609375,
,,,,,,31.5,1861286.75,25978.302734375,-17560.197265625,25998.068359375,-60346.8203125,
,,,,,,31.75,2034457.75,28657.546875,-19670.546875,28651.3125,-62078.0390625,
,,,,,,32,2187448.75,31359.041015625,-21740.896484375,31328.056640625,-63761.5,
,,,,,,32.25,2319077.5,34018.03515625,-23787.24609375,33960.3046875,-65411.46875,
,,,,,,32.5,2429184.5,36609.53125,-25771.095703125,36527.546875,-67070.6875,
,,,,,,32.75,2518403.5,39177.2734375,-27690.9453125,39090.79296875,-68759.3984375,
,,,,,,33,2586164.25,41778.26953125,-29610.294921875,41707.28515625,-70452.109375,
,,,,,,33.25,2631591.25,44393.26171875,-31539.64453125,44333.28125,-72107.578125,
,,,,,,33.5,2655714.25,46929.5078125,-33401.4921875,46865.02734375,-73690.796875,
,,,,,,33.75,2660371,49307.75390625,-35125.34375,49239.01953125,-75179.265625,
,,,,,,34,2646590,51547.99609375,-36742.69140625,51481.515625,-76595.9765625,
,,,,,,34.25,2615709,53684.7421875,-38309.54296875,53617.51171875,-77969.9375,
,,,,,,34.5,2569709.75,55693.234375,-39808.890625,55603.25390625,-79284.65625,
,,,,,,34.75,2509722.75,57569.23046875,-41231.7421875,57439.5,-80562.125,
,,,,,,35,2435047.75,59331.2265625,-42563.08984375,59172.4921875,-81806.3359375,
,,,,,,35.25,2342814.5,60975.21875,-43760.94140625,60808.98828125,-82931.546875,
,,,,,,35.5,2229765.5,62491.21484375,-44813.7890625,62328.484375,-83892.515625,
,,,,,,35.75,2094016.5,63871.95703125,-45716.640625,63703.2265625,-84699.734375,
,,,,,,36,1934655.25,65090.703125,-46459.48828125,64915.97265625,-85336.953125,
,,,,,,36.25,1752142.25,66121.953125,-47064.83984375,65975.71875,-85830.6640625,
,,,,,,36.5,1549925.125,66979.9375,-47578.1875,66885.4609375,-86287.375,
,,,,,,36.75,1334000,67673.9375,-47993.0390625,67600.953125,-86754.84375,
,,,,,,37,1110911,68169.9296875,-48235.88671875,68072.953125,-87173.8125,
,,,,,,37.25,886013.875,68425.171875,-48274.23828125,68297.4453125,-87462.0234375,
,,,,,,37.5,662344.8125,68421.421875,-48133.5859375,68284.9375,-87566.234375,
,,,,,,37.75,440711.6875,68195.6640625,-47836.9375,68069.6875,-87486.453125,
,,,,,,38,219442.625,67815.65625,-47423.28515625,67710.9296875,-87249.671875,
,,,,,,38.25,-4714.46875,67319.40625,-46921.63671875,67232.921875,-86854.390625,
,,,,,,38.5,-234359.5625,66724.8984375,-46356.484375,66645.671875,-86306.6015625,
,,,,,,38.75,-470656.65625,66054.140625,-45799.3359375,65977.6640625,-85677.0625,
,,,,,,39,-711921.75,65293.88671875,-45269.18359375,65212.41015625,-85039.78125,
,,,,,,39.25,-952450.8125,64379.3828125,-44648.53515625,64287.15625,-84398.5,
,,,,,,39.5,-1184948,63287.625,-43861.8828125,63186.1484375,-83736.7109375,
,,,,,,39.75,-1403053,62049.37109375,-42967.234375,61942.14453125,-83060.4296875,
,,,,,,40,-1601642.125,60686.11328125,-42027.58203125,60590.140625,-82367.390625,
,,,,,,40.25,-1777475.125,59253.109375,-41096.93359375,59171.6328125,-81655.859375,
,,,,,,40.5,-1928852.25,57777.35546875,-40183.28125,57687.62890625,-80931.078125,
,,,,,,40.75,-2054789.375,56199.84765625,-39211.1328125,56099.625,-80177.2890625,
,,,,,,41,-2155514.5,54475.09375,-38133.98046875,54387.6171875,-79360.75,
,,,,,,41.25,-2231047.5,52608.0859375,-36954.83203125,52552.36328125,-78463.46875,
,,,,,,41.5,-2280660.5,50654.58203125,-35718.6796875,50629.859375,-77504.1875,
,,,,,,41.75,-2305013.75,48705.828125,-34495.03125,48686.6015625,-76502.15625,
,,,,,,42,-2305886.75,46814.0703125,-33315.87890625,46777.84765625,-75456.1171875,
,,,,,,42.25,-2284352,44976.56640625,-32193.2265625,44922.58984375,-74391.828125,
,,,,,,42.5,-2241481,43202.30859375,-31138.078125,43129.0859375,-73353.296875,
,,,,,,42.75,-2179134,41487.8046875,-30142.92578125,41403.33203125,-72357.765625,
,,,,,,43,-2098891,39793.55078125,-29194.27734375,39716.57421875,-71410.2265625,
,,,,,,43.25,-2001840.25,38117.04296875,-28297.626953125,38044.0703125,-70539.1875,
,,,,,,43.5,-1887893.25,36472.2890625,-27433.4765625,36384.8125,-69755.65625,
,,,,,,43.75,-1755666.375,34849.28125,-26560.326171875,34734.8125,-69019.875,
,,,,,,44,-1604043.5,33238.77734375,-25666.17578125,33100.8046875,-68290.34375,
,,,,,,44.25,-1432408.625,31672.021484375,-24769.025390625,31528.548828125,-67574.0546875,
,,,,,,44.5,-1240965.625,30227.515625,-23911.375,30091.544921875,-66904.765625,
,,,,,,44.75,-1032522.75,28958.51171875,-23132.224609375,28844.5390625,-66269.984375,
,,,,,,45,-812659.8125,27833.755859375,-22423.57421875,27761.033203125,-65599.953125,
,,,,,,45.25,-587952.875,26779.75,-21752.923828125,26747.279296875,-64818.1640625,
,,,,,,45.5,-364438,25781.744140625,-21134.2734375,25772.0234375,-63908.1328125,
,,,,,,45.75,-146295.09375,24918.98828125,-20612.623046875,24916.767578125,-62918.84375,
,,,,,,46,64643.8125,24246.982421875,-20196.97265625,24251.263671875,-61946.8125,
,,,,,,46.25,269686.75,23708.228515625,-19888.822265625,23719.2578125,-61092.52734375,
,,,,,,46.5,472997.625,23244.97265625,-19671.171875,23247.751953125,-60353.4921875,
,,,,,,46.75,678752.5625,22849.466796875,-19500.021484375,22835.74609375,-59681.95703125,
,,,,,,47,889735.5,22503.7109375,-19340.869140625,22473.9921875,-59058.171875,
,,,,,,47.25,1105994.375,22220.205078125,-19170.71875,22170.986328125,-58446.890625,
,,,,,,47.5,1323305.25,22041.94921875,-19020.568359375,21976.48046875,-57821.8515625,
