Data Table,,,,,,,,,,,
Step,Column,Chan,Result,Column,Trials,Step 1,Chan 1,Chan 2,Chan 3,Chan 4,Chan 5
,,,,,,Time (ms),Result (nV),Result (nV),Result (nV),Result (nV),Result (nV)
,,,,,,38,-79737.46875,20394.55469,-2465.069336,20343.11133,-25882.14063
,,,,,,38.25,-78969.84375,20535.05859,-2559.214844,20515.625,-25890.41406
,,,,,,38.5,-78170.23438,20677.56445,-2653.360352,20654.13867,-25846.6875
,,,,,,38.75,-77402.60938,20822.07031,-2756.505371,20770.65234,-25780.96094
,,,,,,39,-76602.99219,20966.57422,-2872.650879,20889.16602,-25697.23438
,,,,,,39.25,-75803.375,21099.08008,-3005.796387,21021.67969,-25607.50977
,,,,,,39.5,-74971.75781,21203.58398,-3144.941895,21140.19336,-25539.7832
,,,,,,39.75,-74172.14063,21284.08984,-3275.087402,21224.70703,-25502.05664
,,,,,,40,-73404.52344,21360.5957,-3384.23291,21295.2207,-25492.33008
,,,,,,40.25,-72732.90625,21433.09961,-3479.378418,21359.73438,-25502.60352
,,,,,,40.5,-72125.28906,21505.60547,-3572.523926,21428.24805,-25548.87695
,,,,,,40.75,-71581.67188,21584.11133,-3664.669434,21508.76172,-25635.15039
,,,,,,41,-71102.05469,21670.61523,-3758.814941,21607.27539,-25727.42383
,,,,,,41.25,-70750.4375,21775.12109,-3873.959961,21725.78906,-25787.69727
,,,,,,41.5,-70526.82031,21889.62695,-4006.105469,21850.30273,-25803.9707
,,,,,,41.75,-70335.20313,21996.13086,-4127.250977,21954.81641,-25772.24609
,,,,,,42,-70207.58594,22084.63672,-4214.396484,22037.33008,-25684.51953
,,,,,,42.25,-70239.96875,22177.14258,-4271.541992,22129.84375,-25554.79297
,,,,,,42.5,-70336.35156,22287.64648,-4321.6875,22244.35742,-25413.06641
,,,,,,42.75,-70496.73438,22416.15234,-4383.833008,22368.86914,-25271.33984
,,,,,,43,-70625.11719,22568.6582,-4466.978516,22515.38281,-25127.61328
,,,,,,43.25,-70785.5,22751.16211,-4586.124023,22693.89648,-25003.88672
,,,,,,43.5,-71041.88281,22947.66797,-4761.269531,22880.41016,-24942.16016
,,,,,,43.75,-71394.26563,23132.17383,-4988.414551,23070.92383,-24952.43359
,,,,,,44,-71842.64844,23326.67773,-5240.560547,23287.4375,-25002.70703
,,,,,,44.25,-72291.03125,23547.18359,-5509.706055,23525.95117,-25044.98047
,,,,,,44.5,-72707.41406,23785.6875,-5783.851563,23772.46484,-25049.25586
,,,,,,44.75,-73091.79688,24040.19336,-6057.99707,24028.97852,-25045.5293
,,,,,,45,-73476.17969,24324.69922,-6336.141602,24315.49219,-25071.80273
,,,,,,45.25,-73956.5625,24651.20313,-6629.287109,24632.00586,-25114.07617
,,,,,,45.5,-74500.94531,25005.70898,-6948.432617,24966.51953,-25152.34961
,,,,,,45.75,-75045.32813,25356.21484,-7281.578125,25307.0332,-25216.62305
,,,,,,46,-75589.71094,25682.71875,-7612.723633,25635.54688,-25326.89648
,,,,,,46.25,-76070.09375,25979.22461,-7919.869141,25928.06055,-25511.16992
,,,,,,46.5,-76486.47656,26247.73047,-8202.014648,26186.57422,-25753.44336
,,,,,,46.75,-76934.85938,26492.23438,-8486.160156,26415.08789,-25991.7168
,,,,,,47,-77447.24219,26696.74023,-8783.305664,26611.60156,-26201.99023
,,,,,,47.25,-78023.625,26857.24609,-9093.451172,26770.11523,-26418.26563
,,,,,,47.5,-78568.00781,26987.75,-9409.59668,26904.62891,-26644.53906
,,,,,,47.75,-79080.39063,27104.25586,-9698.742188,27023.14258,-26862.8125
,,,,,,48,-79656.77344,27190.76172,-9959.887695,27121.65625,-27081.08594
,,,,,,48.25,-80297.15625,27247.26563,-10213.0332,27208.16992,-27341.35938
,,,,,,48.5,-80937.53906,27305.77148,-10448.17871,27296.68359,-27639.63281
,,,,,,48.75,-81513.92188,27378.27539,-10646.32422,27385.19727,-27943.90625
,,,,,,49,-82026.30469,27456.78125,-10811.46973,27461.71094,-28256.17969
,,,,,,49.25,-82378.6875,27517.28711,-10936.61523,27516.22461,-28598.45313
,,,,,,49.5,-82667.07031,27515.79102,-11010.76074,27522.73828,-28954.72656
,,,,,,49.75,-82891.45313,27426.29688,-11046.90527,27455.25195,-29273.00195
,,,,,,50,-83115.83594,27294.80273,-11047.05078,27329.76563,-29515.27539
,,,,,,50.25,-83308.21875,27157.30664,-11003.19629,27170.2793,-29687.54883
,,,,,,50.5,-83500.60156,27011.8125,-10918.3418,26988.79297,-29815.82227
,,,,,,50.75,-83692.98438,26842.31836,-10808.4873,26787.30664,-29922.0957
,,,,,,51,-83821.36719,26650.82227,-10680.63281,26579.82031,-30022.36914
,,,,,,51.25,-83885.75,26449.32813,-10541.77832,26386.33398,-30132.64258
,,,,,,51.5,-83854.13281,26245.83398,-10396.92383,26212.84766,-30252.91602
,,,,,,51.75,-83790.51563,26052.33789,-10250.06934,26051.36133,-30385.18945
,,,,,,52,-83758.89844,25882.84375,-10096.21484,25895.875,-30527.46289
,,,,,,52.25,-83663.28125,25731.34961,-9926.360352,25740.38672,-30643.73633
,,,,,,52.5,-83439.66406,25579.85352,-9736.505859,25576.90039,-30690.01172
,,,,,,52.75,-83056.04688,25414.35938,-9530.651367,25399.41406,-30658.28516
,,,,,,53,-82512.42969,25226.86328,-9313.796875,25201.92773,-30586.55859
,,,,,,53.25,-81904.8125,25019.36914,-9085.942383,24982.44141,-30526.83203
,,,,,,53.5,-81265.19531,24815.875,-8856.087891,24764.95508,-30481.10547
,,,,,,53.75,-80561.57813,24634.37891,-8614.233398,24559.46875,-30421.37891
,,,,,,54,-79825.96094,24452.88477,-8336.378906,24365.98242,-30331.65234
,,,,,,54.25,-79058.34375,24257.39063,-8031.524414,24180.49609,-30191.92578
,,,,,,54.5,-78194.72656,24079.89453,-7743.669922,24007.00977,-29990.19922
,,,,,,54.75,-77299.10938,23932.40039,-7496.814453,23855.52344,-29756.47266
,,,,,,55,-76435.49219,23782.90625,-7287.959961,23716.03711,-29548.74805
,,,,,,55.25,-75667.875,23631.41016,-7106.105469,23576.55078,-29393.02148
,,,,,,55.5,-74996.25,23497.91602,-6956.250977,23433.06445,-29263.29492
,,,,,,55.75,-74452.63281,23364.42188,-6839.396484,23279.57813,-29087.56836
,,,,,,56,-73845.01563,23214.92578,-6716.541992,23124.0918,-28829.8418
,,,,,,56.25,-73173.39844,23063.43164,-6562.6875,22992.60547,-28530.11523
,,,,,,56.5,-72437.78125,22917.9375,-6405.833008,22869.11914,-28216.38867
,,,,,,56.75,-71702.16406,22750.44141,-6262.978516,22711.63281,-27878.66211
,,,,,,57,-70998.54688,22542.94727,-6124.124023,22508.14648,-27510.93555
,,,,,,57.25,-70326.92969,22315.45313,-5993.269531,22276.66016,-27113.20898
,,,,,,57.5,-69719.3125,22099.95703,-5877.415039,22053.17383,-26723.48242
