Data Table,,,,,,,,,,,,
Step,Column,Chan,Result,Column,Trials,Step 1,Chan 1,Chan 2,Chan 3,Chan 4,Chan 5,
,,,,,,Time (ms),Result (nV),Result (nV),Result (nV),Result (nV),Result (nV),
,,,,,,44,-252048.46875,-408.563720703125,-13476.205078125,-392.4033203125,-29323.408203125,
,,,,,,44.25,-251125.453125,-469.86279296875,-13063.8466796875,-441.70703125,-29023.75,
,,,,,,44.5,-250170.40625,-487.162109375,-12612.4892578125,-463.010986328125,-28770.09375,
,,,,,,44.75,-249119.375,-496.461181640625,-12166.130859375,-492.314697265625,-28507.435546875,
,,,,,,45,-247924.34375,-521.760498046875,-11784.7734375,-531.61865234375,-28211.279296875,
,,,,,,45.25,-246537.3125,-581.059814453125,-11444.4150390625,-592.92236328125,-27896.123046875,
,,,,,,45.5,-244990.28125,-672.35888671875,-11092.0576171875,-688.22607421875,-27559.96484375,
,,,,,,45.75,-243347.25,-755.658203125,-10733.69921875,-775.530029296875,-27201.30859375,
,,,,,,46,-241736.21875,-780.957275390625,-10389.341796875,-806.833740234375,-26839.150390625,
,,,,,,46.25,-240253.1875,-786.256591796875,-10041.9833984375,-808.1376953125,-26459.494140625,
,,,,,,46.5,-238946.15625,-847.555908203125,-9659.6259765625,-861.44140625,-26030.3359375,
,,,,,,46.75,-237783.125,-958.85498046875,-9251.267578125,-968.7451171875,-25563.1796875,
,,,,,,47,-236764.09375,-1082.154296875,-8851.91015625,-1082.04907226563,-25077.5234375,
,,,,,,47.25,-235825.0625,-1171.45336914063,-8461.5517578125,-1153.35278320313,-24601.365234375,
,,,,,,47.5,-234886.03125,-1170.75268554688,-8086.1943359375,-1134.65673828125,-24165.208984375,
,,,,,,47.75,-233819,-1106.05200195313,-7718.8359375,-1061.96044921875,-23731.55078125,
,,,,,,48,-232543.96875,-1071.35107421875,-7340.478515625,-1037.26440429688,-23263.89453125,
,,,,,,48.25,-231188.9375,-1100.650390625,-6980.1201171875,-1100.56811523438,-22799.23828125,
,,,,,,48.5,-229865.90625,-1145.94946289063,-6659.7626953125,-1167.87182617188,-22395.580078125,
,,,,,,48.75,-228638.875,-1137.24877929688,-6359.404296875,-1155.17578125,-22077.921875,
,,,,,,49,-227571.84375,-1064.54809570313,-6058.046875,-1068.4794921875,-21791.265625,
,,,,,,49.25,-226712.8125,-1013.84716796875,-5774.6884765625,-1017.78344726563,-21454.109375,
,,,,,,49.5,-226093.78125,-1063.146484375,-5527.3310546875,-1079.08715820313,-21029.953125,
,,,,,,49.75,-225650.75,-1180.44580078125,-5282.97314453125,-1218.39086914063,-20532.794921875,
,,,,,,50,-225271.71875,-1301.74487304688,-4991.615234375,-1353.69482421875,-19991.63671875,
,,,,,,50.25,-224940.6875,-1419.04418945313,-4638.25732421875,-1472.99853515625,-19427.48046875,
,,,,,,50.5,-224673.65625,-1540.34326171875,-4265.8994140625,-1594.30249023438,-18865.32421875,
,,,,,,50.75,-224470.625,-1653.642578125,-3924.54150390625,-1719.60620117188,-18314.66796875,
,,,,,,51,-224363.578125,-1798.94189453125,-3606.18359375,-1880.90991210938,-17756.009765625,
,,,,,,51.25,-224368.546875,-2036.24096679688,-3283.82568359375,-2112.2138671875,-17198.8515625,
,,,,,,51.5,-224485.515625,-2385.54028320313,-2952.4677734375,-2419.517578125,-16698.1953125,
,,,,,,51.75,-224666.484375,-2828.83935546875,-2591.10986328125,-2810.8212890625,-16256.0380859375,
,,,,,,52,-224863.453125,-3344.138671875,-2178.751953125,-3318.12524414063,-15806.880859375,
,,,,,,52.25,-225060.421875,-3935.43798828125,-1747.39404296875,-3945.42919921875,-15320.224609375,
,,,,,,52.5,-225305.390625,-4586.7373046875,-1339.0361328125,-4636.73291015625,-14837.56640625,
,,,,,,52.75,-225774.359375,-5242.0361328125,-956.67822265625,-5302.03662109375,-14435.91015625,
,,,,,,53,-226451.328125,-5863.33544921875,-577.3203125,-5909.3408203125,-14126.2529296875,
,,,,,,53.25,-227224.296875,-6464.634765625,-181.96240234375,-6484.64453125,-13836.095703125,
,,,,,,53.5,-228013.265625,-7051.93408203125,203.3955078125,-7039.9482421875,-13517.4384765625,
,,,,,,53.75,-228818.234375,-7597.2333984375,541.75341796875,-7561.251953125,-13183.78125,
,,,,,,54,-229703.203125,-8092.5322265625,829.111328125,-8048.5556640625,-12876.625,
,,,,,,54.25,-230668.171875,-8523.83203125,1061.46923828125,-8487.859375,-12656.9677734375,
,,,,,,54.5,-231601.140625,-8883.130859375,1227.8271484375,-8875.1640625,-12548.810546875,
,,,,,,54.75,-232422.09375,-9196.4296875,1372.18493652344,-9224.466796875,-12494.6533203125,
,,,,,,55,-233067.0625,-9485.7294921875,1529.54284667969,-9529.771484375,-12449.49609375,
,,,,,,55.25,-233520.03125,-9719.0283203125,1677.90087890625,-9755.07421875,-12429.3388671875,
,,,,,,55.5,-233797,-9880.328125,1805.2587890625,-9904.37890625,-12442.681640625,
,,,,,,55.75,-233993.96875,-9995.626953125,1887.61669921875,-10009.6826171875,-12487.525390625,
,,,,,,56,-234206.9375,-10096.92578125,1913.97448730469,-10106.986328125,-12544.8681640625,
,,,,,,56.25,-234611.90625,-10224.2255859375,1905.33239746094,-10234.2900390625,-12558.7109375,
